,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
243,"Ceres, California",3.01,5.76,0.42,19.51,51.75,0.88,2.34,16.32
244,"Cathedral City, California",2.29,5.15,0.11,26.71,52.48,0.6,2.31,10.35
245,"Carson, California",20.02,21.76,2.17,6.17,32.98,0.52,4.06,12.31
246,"Carpinteria, California",0.38,2.34,0.0,41.16,37.83,0.29,3.68,14.32
247,"Carlsbad, California",0.86,8.04,0.22,70.91,13.88,0.2,4.23,1.66
248,"Capitola, California",0.55,4.59,0.0,59.34,24.67,0.24,7.63,2.99
249,"Canyon Lake, California",0.69,3.61,0.83,77.36,11.82,0.19,2.59,2.91
250,"Campbell, California",3.0,19.12,0.07,49.77,17.72,0.59,5.5,4.24
251,"Camarillo, California",1.54,10.03,0.15,55.19,24.05,0.39,5.56,3.09
252,"Cerritos, California",6.91,55.65,0.42,13.86,12.48,0.37,5.07,5.22
253,"Colma, California",3.02,22.7,0.0,22.17,35.68,0.3,9.01,7.11
254,"Colton, California",5.85,3.83,0.19,14.2,56.39,0.78,2.82,15.94
255,"Colusa, California",2.08,1.22,0.2,33.89,53.81,0.14,2.97,5.69
256,"Dinuba, California",0.37,1.94,0.01,8.27,72.07,0.39,2.05,14.88
257,"Diamond Bar, California",3.53,50.37,0.51,17.39,17.66,0.38,3.61,6.55
258,"Desert Hot Springs, California",8.27,2.38,0.06,24.82,48.75,0.55,3.85,11.33
259,"Del Rey Oaks, California",2.5,4.87,0.3,72.0,13.69,0.18,4.93,1.52
260,"Del Mar, California",0.53,2.28,0.0,88.99,7.28,0.0,0.92,0.0
261,"Delano, California",3.79,11.0,0.2,5.06,69.2,0.79,1.51,8.44
262,"Davis, California",2.18,21.14,0.19,52.96,13.19,0.19,6.43,3.72
263,"Danville, California",1.02,12.96,0.09,75.29,6.19,0.02,3.69,0.73
264,"Dana Point, California",1.14,2.93,0.05,68.1,16.19,0.38,3.31,7.89
265,"Daly City, California",2.81,49.59,0.95,11.12,20.77,0.33,4.07,10.35
266,"Cypress, California",3.7,32.92,0.34,36.41,18.72,0.34,4.61,2.96
267,"Cupertino, California",0.76,66.75,0.16,24.62,3.59,0.11,2.93,1.08
268,"Culver City, California",7.73,15.1,0.13,43.0,21.65,0.51,6.08,5.81
