,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
933,"Mooresville, North Carolina",11.12,5.51,0.09,72.61,7.39,0.43,2.24,0.62
934,"Morehead City, North Carolina",11.27,1.74,0.05,77.23,6.65,0.28,2.48,0.29
935,"Morganton, North Carolina",7.65,1.26,0.27,62.34,17.4,1.17,1.42,8.49
936,"Morrisville, North Carolina",11.78,37.55,0.04,39.13,4.81,0.4,5.07,1.21
937,"Mount Olive, North Carolina",48.92,0.36,0.06,31.47,8.23,0.67,4.88,5.41
938,"Murphy, North Carolina",6.64,1.87,0.0,84.08,3.37,1.76,1.4,0.88
939,"Robersonville, North Carolina",62.89,0.58,0.0,26.13,5.46,0.0,1.57,3.37
940,"Wilkesboro, North Carolina",7.98,2.44,0.0,75.24,4.93,0.28,6.29,2.83
941,"Rockwell, North Carolina",2.84,0.0,0.0,92.69,1.25,0.71,0.6,1.91
942,"Warrenton, North Carolina",36.89,1.29,0.0,48.3,5.15,2.02,4.78,1.56
943,"Washington, North Carolina",40.98,0.01,0.0,41.39,13.93,1.0,1.6,1.08
944,"Waxhaw, North Carolina",9.78,2.68,0.0,74.88,7.7,0.15,3.48,1.32
945,"Waynesville, North Carolina",2.03,0.94,0.0,88.97,4.91,0.57,1.78,0.8
946,"Weaverville, North Carolina",0.46,0.44,0.0,96.35,2.03,0.26,0.46,0.0
947,"Wendell, North Carolina",20.89,0.56,0.0,56.39,11.51,0.0,2.1,8.55
948,"West Jefferson, North Carolina",2.98,2.98,0.0,82.62,5.64,0.06,2.4,3.31
949,"Whiteville, North Carolina",48.18,2.78,0.0,43.13,3.39,0.92,0.73,0.87
950,"Williamston, North Carolina",53.51,2.11,1.54,38.36,2.99,0.07,1.43,0.0
951,"Wilmington, North Carolina",18.34,1.41,0.15,70.7,6.04,0.32,2.1,0.94
952,"Wilson, North Carolina",45.24,1.17,0.0,36.0,9.52,0.84,2.61,4.62
953,"Windsor, North Carolina",56.21,2.72,0.0,34.97,3.09,1.1,1.69,0.22
954,"Winterville, North Carolina",36.31,2.08,0.0,56.07,2.37,0.0,2.51,0.66
955,"Wrightsville Beach, North Carolina",0.16,0.0,0.0,96.53,1.38,0.35,1.58,0.0
956,"Youngsville, North Carolina",26.28,0.64,0.0,54.1,10.27,0.32,6.54,1.86
957,"Zebulon, North Carolina",38.64,1.28,0.0,40.59,13.81,0.0,3.57,2.11
958,"Lexington, North Carolina",29.11,3.13,0.0,45.9,13.56,0.46,4.14,3.69
959,"Wake Forest, North Carolina",14.37,1.52,0.0,71.92,5.67,0.1,4.82,1.59
960,"Rockingham, North Carolina",32.48,1.63,0.0,59.89,3.54,1.35,0.83,0.29
961,"Wadesboro, North Carolina",67.78,1.16,0.0,29.99,0.13,0.15,0.78,0.0
962,"Troy, North Carolina",43.91,0.69,0.0,46.44,3.01,1.4,4.5,0.06
963,"Rocky Mount, North Carolina",62.74,1.23,0.13,27.38,3.57,0.24,2.88,1.83
964,"Rowland, North Carolina",65.92,0.0,0.0,20.79,0.18,12.31,0.62,0.18
965,"Roxboro, North Carolina",43.74,0.27,0.17,32.65,12.71,0.43,3.51,6.53
966,"Salisbury, North Carolina",36.74,0.94,0.03,47.39,8.97,0.23,3.16,2.54
967,"Selma, North Carolina",43.15,0.27,0.0,21.38,24.55,0.19,1.57,8.89
968,"Shallotte, North Carolina",6.69,1.5,0.0,59.44,15.82,1.09,3.01,12.45
969,"Siler City, North Carolina",20.25,1.57,0.0,25.99,38.75,0.17,5.54,7.73
970,"Smithfield, North Carolina",25.79,2.83,0.0,45.85,19.74,0.08,1.94,3.77
971,"Snow Hill, North Carolina",38.18,0.12,0.0,42.55,14.3,0.0,3.82,1.03
972,"Southern Pines, North Carolina",16.85,1.9,0.3,74.22,4.1,0.22,1.38,1.02
973,"Southern Shores, North Carolina",1.25,0.0,0.0,91.9,1.04,2.78,3.03,0.0
974,"Southport, North Carolina",7.87,0.0,0.0,85.22,2.9,0.0,3.66,0.36
975,"Spencer, North Carolina",38.2,1.36,0.0,43.04,9.05,0.0,2.06,6.29
976,"Stallings, North Carolina",9.79,3.81,0.02,75.84,6.17,1.39,2.15,0.81
977,"Swansboro, North Carolina",2.28,11.1,0.0,78.55,5.36,0.0,2.0,0.72
978,"Sylva, North Carolina",3.1,1.68,0.0,71.48,6.31,5.25,12.14,0.04
979,"Troutman, North Carolina",24.78,0.67,0.0,66.37,3.62,0.0,1.98,2.58
980,"Valdese, North Carolina",0.36,0.86,0.0,94.95,1.72,0.27,1.83,0.0
981,"Lenoir, North Carolina",11.48,0.47,0.12,72.36,7.74,0.48,1.94,5.42
982,"Asheville, North Carolina",11.59,1.82,0.29,77.2,5.95,0.33,2.3,0.51
983,"Knightdale, North Carolina",38.03,2.4,0.0,37.56,12.14,0.1,4.21,5.57
984,"Carolina Beach, North Carolina",0.11,0.38,0.0,93.31,1.75,0.0,4.1,0.35
985,"Carthage, North Carolina",14.9,1.67,0.0,75.98,3.09,0.0,4.36,0.0
986,"Cary, North Carolina",8.04,17.34,0.04,61.91,7.54,0.39,2.71,2.03
987,"Chapel Hill, North Carolina",9.71,12.25,0.01,66.85,6.49,0.2,2.97,1.53
988,"Cherryville, North Carolina",7.01,0.24,0.02,86.71,3.05,0.34,1.95,0.69
989,"Chocowinity, North Carolina",25.35,0.0,0.0,54.97,10.55,0.0,8.22,0.91
990,"Cape Carteret, North Carolina",0.92,0.42,0.0,89.06,8.02,0.13,0.71,0.75
991,"Clayton, North Carolina",25.49,0.83,0.0,53.68,12.18,1.3,2.61,3.91
992,"Columbus, North Carolina",3.33,0.35,0.0,73.44,14.55,0.0,8.06,0.26
993,"Concord, North Carolina",20.01,4.38,0.02,56.59,11.58,0.41,2.33,4.68
994,"Dallas, North Carolina",17.98,1.23,2.0,66.94,7.86,0.54,2.71,0.73
995,"Davidson, North Carolina",4.43,1.16,0.0,87.06,5.41,0.0,1.64,0.31
996,"Dunn, North Carolina",40.51,0.23,0.0,46.82,6.07,0.9,1.05,4.43
997,"Durham, North Carolina",37.63,5.1,0.04,37.17,13.47,0.25,2.76,3.57
998,"East Spencer, North Carolina",74.91,0.0,0.0,9.33,9.65,0.13,0.0,5.99
999,"Cleveland, North Carolina",25.8,0.0,0.0,64.14,9.8,0.0,0.26,0.0
1000,"Canton, North Carolina",0.77,0.0,0.0,88.47,5.73,0.93,1.43,2.66
1001,"Butner, North Carolina",26.59,1.66,0.0,45.05,14.11,0.23,3.55,8.81
1002,"Burlington, North Carolina",25.19,2.97,0.06,44.7,16.36,0.13,1.97,8.62
1003,"Aberdeen, North Carolina",19.57,3.44,0.0,69.67,4.61,0.67,1.47,0.56
1004,"Ahoskie, North Carolina",62.51,1.88,0.04,24.2,5.26,1.64,2.87,1.6
1005,"Albemarle, North Carolina",24.17,1.56,0.06,63.23,5.41,0.64,2.93,2.01
1006,"Apex, North Carolina",6.97,7.9,0.0,73.07,6.9,0.2,3.31,1.65
1007,"Laurinburg, North Carolina",48.06,1.39,0.0,37.78,2.75,6.96,1.33,1.74
1008,"Atlantic Beach, North Carolina",0.8,0.0,0.0,95.43,1.77,0.17,1.03,0.8
1009,"Bailey, North Carolina",7.6,0.0,0.0,62.6,10.8,0.0,11.0,8.0
1010,"Banner Elk, North Carolina",3.75,2.61,0.0,78.45,9.5,0.13,2.21,3.35
1011,"Benson, North Carolina",16.88,0.53,0.0,62.36,15.93,2.51,0.16,1.64
1012,"Bessemer City, North Carolina",14.99,0.0,0.0,72.81,7.83,0.59,0.77,3.02
1013,"Biscoe, North Carolina",15.49,0.19,0.0,20.25,57.84,0.0,1.28,4.95
1014,"Black Mountain, North Carolina",5.77,1.01,0.0,88.55,1.96,0.83,1.27,0.6
1015,"Boiling Spring Lakes, North Carolina",1.31,0.57,0.0,70.86,11.48,0.34,5.59,9.86
1016,"Boone, North Carolina",2.66,0.67,0.12,89.23,4.33,0.83,1.15,1.0
1017,"Brevard, North Carolina",12.04,0.37,0.0,83.57,0.7,0.57,2.44,0.31
1018,"Bunn, North Carolina",30.2,0.0,0.28,50.71,7.98,0.0,3.7,7.12
1019,"Burgaw, North Carolina",41.94,0.39,0.0,40.85,8.26,0.23,2.13,6.2
1020,"Eden, North Carolina",22.95,1.42,0.0,61.48,7.2,0.07,3.36,3.52
1021,"Edenton, North Carolina",56.94,1.51,0.06,35.99,2.59,0.91,1.53,0.48
1022,"Creedmoor, North Carolina",28.93,0.66,0.0,55.23,6.29,1.49,7.08,0.33
1023,"Elizabethtown, North Carolina",39.16,0.0,0.0,49.31,4.93,1.87,0.19,4.55
1024,"Hertford, North Carolina",39.04,0.0,0.0,53.06,6.08,0.0,0.69,1.13
1025,"Hickory, North Carolina",10.71,5.05,0.0,62.25,11.82,0.14,2.34,7.69
1026,"Highlands, North Carolina",1.87,2.28,0.0,84.36,6.27,0.0,0.0,5.21
1027,"High Point, North Carolina",33.13,7.79,0.05,42.65,9.83,0.45,2.95,3.14
1028,"Elizabeth City, North Carolina",48.07,1.11,0.32,38.56,7.77,0.08,3.34,0.75
1029,"Holly Ridge, North Carolina",3.79,0.65,0.0,80.25,8.45,1.77,3.62,1.47
1030,"Holly Springs, North Carolina",12.37,2.52,0.02,72.1,6.94,0.28,3.75,2.02
1031,"Hope Mills, North Carolina",29.33,1.76,0.27,50.13,8.63,2.44,6.74,0.7
1032,"Hudson, North Carolina",0.4,0.0,0.0,82.27,8.27,0.66,3.1,5.3
1033,"Huntersville, North Carolina",11.4,2.53,0.0,74.06,6.93,0.32,2.63,2.13
1034,"Kannapolis, North Carolina",20.49,1.66,0.08,54.87,13.03,0.18,2.1,7.6
1035,"Kenansville, North Carolina",34.22,0.0,0.0,54.5,3.93,0.0,6.21,1.14
1036,"Kernersville, North Carolina",13.12,1.66,0.36,68.33,12.12,0.72,1.8,1.89
1037,"Kill Devil Hills, North Carolina",1.6,0.91,0.0,82.27,10.32,0.0,1.53,3.38
1038,"King, North Carolina",4.88,0.07,0.0,91.53,2.85,0.67,0.0,0.0
1039,"Kings Mountain, North Carolina",20.47,0.52,0.0,73.28,2.51,0.09,1.75,1.37
1040,"Kitty Hawk, North Carolina",1.24,0.0,0.0,97.66,0.43,0.0,0.66,0.0
1041,"Hendersonville, North Carolina",6.32,1.69,0.0,77.93,8.77,0.0,2.67,2.63
1042,"Henderson, North Carolina",60.75,1.07,0.18,24.23,7.84,2.54,1.85,1.55
1043,"Hillsborough, North Carolina",22.03,2.03,0.0,59.48,8.37,0.76,1.99,5.32
1044,"Havelock, North Carolina",18.13,1.72,0.07,56.05,13.57,1.22,5.81,3.44
1045,"Elon, North Carolina",7.59,2.91,0.0,80.7,5.73,0.44,1.52,1.11
1046,"Haw River, North Carolina",4.26,0.0,0.1,63.24,19.85,0.07,1.71,10.76
1047,"Erwin, North Carolina",19.53,0.06,0.0,65.31,7.71,0.38,0.84,6.17
1048,"Fair Bluff, North Carolina",62.31,0.0,0.0,32.73,1.82,2.48,0.66,0.0
1049,"Fairmont, North Carolina",60.28,0.0,0.0,25.44,1.81,10.06,2.4,0.0
1050,"Farmville, North Carolina",48.97,0.0,0.0,48.01,1.43,0.0,1.6,0.0
1051,"Fayetteville, North Carolina",40.22,2.8,0.33,36.29,11.43,0.92,5.45,2.55
1052,"Forest City, North Carolina",22.8,0.53,0.0,63.37,8.55,0.09,0.2,4.46
1053,"Enfield, North Carolina",89.58,0.0,0.3,8.74,0.0,1.25,0.13,0.0
1054,"Fuquay-Varina, North Carolina",13.53,1.35,0.0,68.01,10.65,0.15,3.26,3.05
1055,"Garner, North Carolina",27.78,1.86,0.0,55.59,10.31,0.2,2.89,1.37
1056,"Gibsonville, North Carolina",26.56,1.36,0.0,64.77,3.73,0.0,3.24,0.34
1057,"Goldsboro, North Carolina",52.09,2.16,0.08,34.83,5.74,0.34,4.32,0.43
1058,"Granite Falls, North Carolina",2.86,2.74,0.0,83.5,6.63,0.11,1.22,2.95
1059,"Greensboro, North Carolina",40.48,4.61,0.07,42.0,7.28,0.45,2.5,2.61
1060,"Greenville, North Carolina",37.26,2.51,0.05,49.81,5.04,0.42,2.68,2.23
1061,"Four Oaks, North Carolina",26.24,1.84,0.0,49.66,14.19,0.56,2.14,5.36
1062,"Norris, Tennessee",0.27,0.2,0.0,92.83,2.3,0.14,1.83,2.43
1063,"Nolensville, Tennessee",7.02,4.76,0.55,81.51,3.4,0.14,2.28,0.32
1064,"Niota, Tennessee",2.15,0.98,0.0,94.52,0.29,0.0,2.06,0.0
1065,"New Tazewell, Tennessee",2.7,0.0,0.58,93.59,0.36,0.0,2.77,0.0
1066,"New Johnsonville, Tennessee",6.93,0.24,0.0,87.85,0.38,2.09,2.52,0.0
1067,"New Market, Tennessee",2.04,0.2,0.0,82.6,12.98,0.34,1.84,0.0
1068,"Newbern, Tennessee",4.04,0.0,0.0,85.75,5.59,0.0,0.6,4.01
1069,"Oakland, Tennessee",9.53,0.26,0.0,87.09,2.07,0.0,0.75,0.3
1070,"Murfreesboro, Tennessee",18.59,3.61,0.0,66.17,6.55,0.16,3.77,1.14
1071,"Newport, Tennessee",5.79,0.0,0.0,88.98,3.54,0.36,1.33,0.0
1072,"Oak Ridge, Tennessee",6.4,3.15,0.0,76.68,6.66,0.27,5.14,1.71
1073,"Portland, Tennessee",2.29,0.43,0.06,85.55,6.51,0.1,3.97,1.09
1074,"Oneida, Tennessee",0.35,0.0,0.0,97.65,1.35,0.0,0.65,0.0
1075,"Paris, Tennessee",20.18,0.19,0.0,74.95,1.65,0.32,2.72,0.0
1076,"Parsons, Tennessee",7.12,2.07,0.0,85.72,0.57,0.0,3.95,0.57
1077,"Pigeon Forge, Tennessee",0.55,0.0,0.0,73.52,14.87,1.9,3.95,5.22
1078,"Pikeville, Tennessee",11.73,0.0,0.0,73.62,3.01,1.81,8.81,1.02
1079,"Plainview, Tennessee",1.28,0.0,0.0,91.9,5.49,0.33,1.0,0.0
1080,"Munford, Tennessee",18.99,3.04,0.0,72.8,3.79,0.0,1.0,0.38
1081,"Pulaski, Tennessee",22.65,0.13,0.0,69.09,3.55,0.0,3.71,0.87
1082,"Puryear, Tennessee",4.29,0.28,0.0,90.32,2.07,1.11,1.94,0.0
1083,"Red Bank, Tennessee",6.07,0.81,0.17,84.91,4.57,0.19,2.08,1.21
1084,"Red Boiling Springs, Tennessee",1.25,0.0,0.0,70.36,21.68,0.5,1.19,5.01
1085,"Oliver Springs, Tennessee",1.6,0.38,0.0,96.81,0.0,0.0,1.2,0.0
1086,"Mount Pleasant, Tennessee",12.86,0.0,0.0,77.93,5.62,0.0,3.38,0.21
1087,"Millington, Tennessee",24.49,4.62,0.0,58.72,6.5,0.36,4.16,1.14
1088,"Mount Carmel, Tennessee",1.63,0.17,0.0,93.78,3.61,0.0,0.65,0.17
1089,"Ridgely, Tennessee",19.61,0.0,0.0,74.08,2.48,0.59,1.72,1.51
1090,"Loudon, Tennessee",2.83,0.02,0.0,73.23,16.89,0.0,2.4,4.63
1091,"Loretto, Tennessee",1.9,0.0,0.0,93.2,2.77,0.33,1.8,0.0
1092,"Madisonville, Tennessee",5.28,0.0,0.0,85.98,6.02,0.86,0.78,1.06
1093,"Manchester, Tennessee",3.68,0.76,0.06,77.97,6.74,0.3,6.05,4.45
1094,"Martin, Tennessee",18.4,0.38,0.17,74.32,3.51,0.38,1.69,1.16
1095,"Maryville, Tennessee",2.68,1.23,0.23,89.06,3.79,0.46,2.4,0.15
1096,"Mason, Tennessee",65.86,0.0,0.0,21.9,8.62,0.0,1.72,1.9
1097,"Maury City, Tennessee",19.83,0.38,0.0,45.11,17.15,0.0,3.07,14.46
1098,"Maynardville, Tennessee",2.31,0.0,1.62,93.5,2.13,0.0,0.44,0.0
1099,"McEwen, Tennessee",0.0,0.0,0.37,94.49,1.98,2.41,0.74,0.0
1100,"McKenzie, Tennessee",12.59,0.26,0.0,84.97,1.47,0.0,0.61,0.09
1101,"McMinnville, Tennessee",1.68,0.76,0.78,79.76,10.16,0.5,4.14,2.23
1102,"Medina, Tennessee",7.0,0.16,0.0,85.81,4.05,0.28,0.47,2.22
1103,"Memphis, Tennessee",61.89,1.5,0.02,24.74,6.91,0.18,1.52,3.24
1104,"Milan, Tennessee",22.3,1.66,0.14,64.82,3.33,0.0,6.55,1.2
1105,"Millersville, Tennessee",5.56,0.86,0.91,80.77,6.8,0.25,2.07,2.79
1106,"Monteagle, Tennessee",2.35,0.0,0.0,86.12,5.0,2.14,4.39,0.0
1107,"Monterey, Tennessee",0.8,0.7,0.0,62.09,30.06,0.47,0.96,4.92
1108,"Morristown, Tennessee",7.29,0.96,0.43,62.43,18.85,0.26,3.16,6.62
1109,"Moscow, Tennessee",48.92,0.0,0.0,33.47,10.43,0.27,0.0,6.91
1110,"Mountain City, Tennessee",3.42,1.27,0.0,87.79,5.2,0.25,1.52,0.55
1111,"Mount Juliet, Tennessee",8.22,3.2,0.05,81.36,3.43,0.29,2.33,1.12
1112,"Ridgetop, Tennessee",0.96,0.18,0.0,95.31,2.28,0.09,0.92,0.26
1113,"Winchester, Tennessee",9.3,0.7,0.0,83.98,3.94,0.0,1.01,1.08
1114,"Rockwood, Tennessee",1.6,2.64,0.0,88.58,2.88,0.0,3.82,0.48
1115,"Tiptonville, Tennessee",39.81,0.23,0.0,54.24,2.65,0.11,1.72,1.25
1116,"Toone, Tennessee",63.59,0.0,0.0,36.41,0.0,0.0,0.0,0.0
1117,"Tracy City, Tennessee",0.9,0.0,0.0,89.59,0.0,0.32,8.61,0.58
1118,"Trenton, Tennessee",25.05,0.79,0.0,61.93,4.63,0.0,7.43,0.17
1119,"Trezevant, Tennessee",13.16,0.0,0.0,69.68,14.84,0.26,2.06,0.0
1120,"Trimble, Tennessee",2.6,0.0,0.0,92.6,1.0,0.6,2.2,1.0
1121,"Troy, Tennessee",1.2,0.72,0.0,94.64,2.23,0.0,0.78,0.42
1122,"Tullahoma, Tennessee",4.22,1.29,0.0,83.07,4.83,0.15,3.78,2.65
1123,"Union City, Tennessee",20.8,0.0,0.0,66.45,5.75,0.22,3.46,3.32
1124,"Vonore, Tennessee",1.17,0.15,0.0,89.11,3.26,1.98,2.95,1.37
1125,"Wartburg, Tennessee",1.36,0.0,0.0,97.49,0.31,0.52,0.0,0.31
1126,"Wartrace, Tennessee",8.1,0.0,0.0,89.84,0.0,0.16,1.9,0.0
1127,"Watertown, Tennessee",9.5,0.0,0.0,74.05,6.65,1.46,3.56,4.78
1128,"Waverly, Tennessee",4.41,0.0,0.0,89.85,3.31,0.0,2.43,0.0
1129,"Waynesboro, Tennessee",10.74,0.39,0.0,84.14,4.41,0.0,0.0,0.31
1130,"Westmoreland, Tennessee",0.31,0.0,0.0,98.16,0.38,0.77,0.0,0.38
1131,"White Bluff, Tennessee",1.78,0.0,0.0,94.34,1.21,0.83,0.86,0.98
1132,"White House, Tennessee",0.39,1.46,0.0,89.71,4.56,0.25,1.0,2.63
1133,"White Pine, Tennessee",0.23,0.0,0.0,79.22,13.43,0.0,3.42,3.7
1134,"Whiteville, Tennessee",53.08,0.17,0.0,39.44,4.56,0.19,1.15,1.4
1135,"Whitwell, Tennessee",0.78,0.0,0.0,88.65,6.3,0.1,3.28,0.88
1136,"Woodbury, Tennessee",3.5,0.15,0.0,92.41,1.39,0.0,2.55,0.0
1137,"Livingston, Tennessee",3.45,0.45,0.0,91.81,4.17,0.0,0.12,0.0
1138,"Tellico Plains, Tennessee",0.0,0.0,0.0,96.36,0.31,2.5,0.83,0.0
1139,"Ripley, Tennessee",50.3,0.58,0.0,41.38,1.26,1.39,4.25,0.84
1140,"Tazewell, Tennessee",3.11,0.82,0.0,92.52,2.21,0.3,1.04,0.0
1141,"Surgoinsville, Tennessee",0.28,0.09,0.0,97.27,1.02,0.0,1.02,0.32
1142,"Rogersville, Tennessee",2.3,0.0,0.0,96.82,0.0,0.48,0.39,0.0
1143,"Rutherford, Tennessee",7.03,0.0,0.0,90.19,0.52,0.87,1.39,0.0
1144,"Savannah, Tennessee",10.05,0.85,0.0,81.89,6.39,0.0,0.82,0.0
1145,"Scotts Hill, Tennessee",0.55,0.0,0.0,91.16,4.8,0.0,2.4,1.09
1146,"Selmer, Tennessee",2.85,0.77,0.0,90.84,4.5,0.0,1.04,0.0
1147,"Sevierville, Tennessee",0.64,2.42,0.0,78.07,14.16,0.32,1.35,3.04
1148,"Sharon, Tennessee",10.36,0.88,0.0,86.02,0.0,0.0,2.74,0.0
1149,"Shelbyville, Tennessee",12.56,0.0,0.12,53.61,20.24,0.06,4.37,9.05
1150,"Signal Mountain, Tennessee",0.42,0.74,0.0,97.35,0.54,0.0,0.73,0.22
1151,"Smithville, Tennessee",0.55,3.03,0.31,76.84,12.11,0.0,3.29,3.87
1152,"Smyrna, Tennessee",13.77,5.0,0.05,66.52,10.06,0.22,3.4,0.98
1153,"Soddy-Daisy, Tennessee",0.88,0.0,0.0,96.23,1.62,0.56,0.72,0.0
1154,"Somerville, Tennessee",40.21,0.25,0.0,52.15,0.6,4.09,2.15,0.54
1155,"South Carthage, Tennessee",1.03,0.0,0.0,92.0,2.93,0.0,2.3,1.74
1156,"South Fulton, Tennessee",16.44,0.92,0.0,74.88,4.22,0.36,2.77,0.4
1157,"South Pittsburg, Tennessee",11.3,1.96,0.0,77.57,2.15,0.23,6.5,0.29
1158,"Sparta, Tennessee",4.86,0.81,0.0,84.82,6.56,0.0,2.96,0.0
1159,"Spencer, Tennessee",0.81,0.0,0.0,97.65,0.0,0.0,1.55,0.0
1160,"Spring City, Tennessee",3.2,0.0,0.0,94.03,0.72,0.0,2.05,0.0
1161,"Springfield, Tennessee",20.24,0.82,0.06,55.16,16.6,0.54,2.07,4.53
1162,"Spring Hill, Tennessee",4.26,1.99,0.0,84.37,6.72,1.14,1.23,0.29
1163,"St. Joseph, Tennessee",0.0,0.66,0.0,96.28,0.33,0.0,2.74,0.0
1164,"Sweetwater, Tennessee",6.67,1.81,0.0,86.04,3.41,0.0,1.53,0.54
1165,"Lexington, Tennessee",14.53,0.57,0.36,79.29,3.66,0.0,1.59,0.0
1166,"Graysville, Tennessee",0.51,0.0,0.0,89.97,6.24,2.1,1.13,0.06
1167,"Lebanon, Tennessee",11.91,2.29,0.06,73.8,7.16,0.32,2.31,2.15
1168,"Celina, Tennessee",9.66,0.39,0.0,87.75,1.71,0.0,0.0,0.5
1169,"Centerville, Tennessee",2.78,0.0,0.11,93.87,2.62,0.0,0.62,0.0
1170,"Chapel Hill, Tennessee",3.25,0.13,0.0,91.2,3.19,0.0,1.91,0.32
1171,"Chattanooga, Tennessee",32.26,2.4,0.02,56.04,6.06,0.14,2.37,0.71
1172,"Clarksville, Tennessee",23.39,2.45,0.44,55.76,11.1,0.65,4.49,1.73
1173,"Cleveland, Tennessee",8.27,2.2,0.01,73.76,10.38,0.12,1.8,3.45
1174,"Clifton, Tennessee",26.71,0.0,0.0,70.19,1.42,0.63,0.67,0.37
1175,"Clinton, Tennessee",2.79,0.23,0.0,93.92,1.31,0.0,1.75,0.0
1176,"Collegedale, Tennessee",8.94,4.31,0.0,67.49,12.3,0.3,4.56,2.08
1177,"Collierville, Tennessee",12.31,7.94,0.03,73.83,2.35,0.38,2.24,0.92
1178,"Columbia, Tennessee",19.4,0.75,0.05,66.81,8.86,0.16,2.81,1.17
1179,"Cookeville, Tennessee",4.16,2.13,0.07,83.95,6.52,0.23,2.21,0.73
1180,"Coopertown, Tennessee",3.25,0.36,0.0,91.07,0.0,0.56,4.76,0.0
1181,"Cornersville, Tennessee",3.82,0.0,0.0,94.01,0.37,0.0,1.8,0.0
1182,"Covington, Tennessee",41.94,0.0,0.0,52.62,1.43,0.0,2.91,1.1
1183,"Cowan, Tennessee",9.84,0.0,0.0,78.17,5.83,0.13,1.55,4.47
1184,"Crossville, Tennessee",2.21,0.28,0.0,86.67,8.63,1.2,0.48,0.54
1185,"Cumberland City, Tennessee",5.54,0.33,0.0,84.36,0.33,0.98,8.47,0.0
1186,"Dandridge, Tennessee",5.38,0.0,0.0,89.76,2.16,1.55,1.03,0.13
1187,"Dayton, Tennessee",5.72,0.8,0.0,80.07,6.64,0.0,5.38,1.39
1188,"Decatur, Tennessee",0.96,0.0,0.0,98.2,0.0,0.45,0.39,0.0
1189,"Decherd, Tennessee",16.96,0.21,0.0,70.15,6.58,0.77,3.79,1.54
1190,"Dickson, Tennessee",7.6,0.84,0.0,81.59,6.28,0.1,2.65,0.95
1191,"Caryville, Tennessee",0.0,0.3,0.0,96.38,1.08,1.16,0.0,1.08
1192,"Dover, Tennessee",0.7,0.28,0.0,90.13,3.89,0.0,4.59,0.42
1193,"Carthage, Tennessee",8.48,0.0,0.0,87.59,0.16,1.34,2.44,0.0
1194,"Bruceton, Tennessee",0.52,0.82,0.0,93.23,1.93,0.0,2.9,0.6
1195,"Lenoir City, Tennessee",0.69,0.79,0.0,76.34,14.32,0.3,4.35,3.21
1196,"Adamsville, Tennessee",1.04,0.23,0.0,92.85,1.36,0.0,3.76,0.77
1197,"Alamo, Tennessee",11.44,0.0,0.0,61.16,13.84,0.0,1.3,12.26
1198,"Alcoa, Tennessee",12.15,1.11,0.0,75.69,6.67,0.0,3.64,0.74
1199,"Alexandria, Tennessee",3.15,0.18,0.0,96.4,0.0,0.0,0.27,0.0
1200,"Algood, Tennessee",0.86,0.0,0.0,91.91,3.89,0.0,3.35,0.0
1201,"Ashland City, Tennessee",2.33,0.98,0.0,83.77,6.66,0.23,5.04,0.98
1202,"Athens, Tennessee",9.45,1.28,0.0,80.26,4.67,0.57,2.27,1.51
1203,"Atoka, Tennessee",10.21,0.81,1.0,82.82,1.46,1.62,1.9,0.19
1204,"Baileyton, Tennessee",1.13,0.0,0.0,96.04,0.94,0.0,1.32,0.57
1205,"Bartlett, Tennessee",20.65,3.44,0.0,69.04,3.97,0.04,2.28,0.59
1206,"Baxter, Tennessee",0.0,0.0,0.0,88.67,10.81,0.0,0.52,0.0
1207,"Bean Station, Tennessee",0.0,0.0,0.0,98.06,1.55,0.0,0.39,0.0
1208,"Belle Meade, Tennessee",0.67,0.54,0.0,97.13,0.0,0.0,1.67,0.0
1209,"Bells, Tennessee",21.7,0.65,0.0,55.94,15.16,0.07,2.62,3.86
1210,"Benton, Tennessee",1.24,0.0,0.0,90.53,2.78,0.74,3.53,1.18
1211,"Berry Hill, Tennessee",4.8,2.31,0.0,81.26,7.02,0.0,4.52,0.09
1212,"Bluff City, Tennessee",0.7,0.0,0.0,96.95,0.54,0.0,1.82,0.0
1213,"Bolivar, Tennessee",59.56,0.26,0.0,37.86,0.02,0.82,1.38,0.1
1214,"Bradford, Tennessee",5.76,0.0,0.0,89.43,1.2,0.95,2.32,0.34
1215,"Brentwood, Tennessee",3.56,7.41,0.0,83.07,3.81,0.12,1.86,0.18
1216,"Brighton, Tennessee",12.22,1.12,0.0,80.25,1.83,0.0,4.58,0.0
1217,"Bristol, Tennessee",3.5,0.58,0.02,90.22,2.04,0.08,2.56,1.01
1218,"Camden, Tennessee",2.9,0.0,0.0,93.29,3.27,0.0,0.54,0.0
1219,"Dresden, Tennessee",8.95,0.0,0.0,85.42,2.7,0.23,0.0,2.7
1220,"Brownsville, Tennessee",62.54,0.0,0.08,33.43,2.31,0.0,0.36,1.28
1221,"Dyer, Tennessee",20.28,0.0,0.0,74.54,2.55,1.01,1.62,0.0
1222,"Henderson, Tennessee",20.43,1.35,0.0,73.85,0.99,0.11,2.83,0.43
1223,"Hendersonville, Tennessee",7.99,1.31,0.11,83.21,3.93,0.21,1.71,1.53
1224,"Hohenwald, Tennessee",4.4,0.0,0.0,87.0,1.82,0.0,6.2,0.57
