,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
274,"Flomaton, Alabama",36.04,34.4,19.66,2.57,7.33
275,"Five Points, Alabama",36.65,36.2,14.03,0.9,12.22
276,"Oxford, Alabama",24.41,54.08,13.06,1.65,6.8
277,"Cowarts, Alabama",29.65,51.54,10.95,1.94,5.93
278,"Prichard, Alabama",46.97,25.8,11.06,6.54,9.63
279,"Satsuma, Alabama",18.04,60.91,10.5,1.73,8.81
280,"Maytown, Alabama",25.94,50.75,10.9,1.5,10.9
281,"Morris, Alabama",19.02,60.28,12.83,0.32,7.54
282,"Pleasant Grove, Alabama",24.45,52.7,14.97,0.78,7.1
283,"Glencoe, Alabama",12.74,68.14,12.07,0.0,7.05
284,"Hokes Bluff, Alabama",25.33,48.63,16.8,0.73,8.5
285,"Gordonville, Alabama",41.25,17.5,20.62,8.75,11.88
286,"Lockhart, Alabama",28.21,41.03,20.94,2.56,7.26
287,"Autaugaville, Alabama",38.73,39.51,9.2,3.11,9.46
288,"Arab, Alabama",23.31,49.7,15.55,2.09,9.34
289,"Pell City, Alabama",24.98,50.4,17.39,1.79,5.45
290,"Rogersville, Alabama",26.93,45.83,14.43,3.66,9.15
291,"Sheffield, Alabama",28.87,40.47,17.47,2.17,11.02
292,"Brilliant, Alabama",26.48,45.9,15.64,2.52,9.46
293,"Brewton, Alabama",27.0,41.84,16.41,3.18,11.57
294,"Harvest, Alabama",28.21,51.63,12.27,4.32,3.56
295,"Eclectic, Alabama",35.16,39.24,17.07,1.78,6.75
296,"Owens Cross Roads, Alabama",26.33,50.92,13.57,0.92,8.26
297,"Brookwood, Alabama",24.42,55.44,12.69,1.92,5.53
298,"Walnut Grove, Alabama",28.59,47.48,11.38,3.49,9.06
299,"Dothan, Alabama",31.5,43.84,14.41,2.66,7.59
300,"Kinsey, Alabama",34.09,42.76,12.6,5.13,5.42
301,"Theodore, Alabama",25.08,52.59,14.06,1.93,6.33
302,"Eldridge, Alabama",34.65,57.43,0.99,0.0,6.93
303,"Jasper, Alabama",25.85,48.22,13.75,2.94,9.24
304,"Kansas, Alabama",28.48,44.37,9.93,7.28,9.93
305,"Fultondale, Alabama",22.04,55.84,12.91,2.01,7.2
306,"Foley, Alabama",28.94,40.26,15.4,2.1,13.3
307,"Underwood-Petersville, Alabama",18.9,57.53,12.6,1.83,9.13
308,"Guin, Alabama",25.01,47.09,16.72,3.92,7.26
309,"Daphne, Alabama",27.94,52.04,13.43,1.17,5.42
310,"Silverhill, Alabama",14.21,59.53,12.95,0.72,12.59
311,"Leesburg, Alabama",16.23,64.81,11.12,1.14,6.7
312,"Rainsville, Alabama",23.79,51.37,15.42,2.42,7.0
313,"Piedmont, Alabama",20.65,52.19,13.45,2.72,11.0
314,"Huntsville, Alabama",34.33,44.78,12.74,2.08,6.08
315,"Castleberry, Alabama",29.61,38.04,13.21,7.74,11.39
316,"Abbeville, Alabama",32.26,40.99,10.71,3.23,12.81
317,"Greenville, Alabama",38.3,35.78,14.26,3.62,8.04
318,"Evergreen, Alabama",46.13,28.04,12.37,2.31,11.15
319,"East Brewton, Alabama",39.23,36.98,10.3,6.72,6.77
320,"Hurtsboro, Alabama",26.96,41.61,14.44,6.79,10.19
321,"Haleburg, Alabama",23.33,66.67,4.17,5.0,0.83
322,"Newville, Alabama",23.33,39.7,17.27,3.94,15.76
323,"Louisville, Alabama",32.25,41.75,11.0,8.0,7.0
324,"Orrville, Alabama",39.29,37.5,12.5,5.36,5.36
